,BDTYP_CD,BUL_DPN_SE,X_AXIS,Y_AXIS,HOUS_ID,TOTAL_AREA,ADMI_CD,BLK_CD,XMIN,YMIN,XMAX,YMAX,SHAPE_AREA,경도,위도
51,1003,M,199796,451323,1.11401E+18,62.64,11140570,206777,199791,451318,199800,451329,31.32,126.9955889,37.56418804
52,1003,M,199793,451327,1.11401E+18,85.56,11140570,206777,199788,451321,199798,451333,42.78,126.995555,37.56422408
53,1003,M,199885,451819,1.11402E+18,85.28,11140605,206954,199880,451814,199890,451824,42.64,126.9965961,37.56865697
54,1003,M,199895,451807,1.11402E+18,149.54,11140605,206954,199888,451802,199902,451813,74.77,126.9967093,37.56854885
55,1003,M,199806,451957,1.11402E+18,146.86,11140605,207246,199801,451949,199812,451963,73.43,126.9957019,37.56990031
56,1003,M,202300,451695,1.11402E+18,76.44,11140650,208040,202293,451687,202306,451702,76.44,127.0239317,37.56753705
57,1003,M,202291,451678,1.11402E+18,128.5,11140650,208040,202285,451671,202297,451684,64.25,127.0238298,37.5673839
58,1003,M,202308,451687,1.11402E+18,120.26,11140650,208040,202302,451682,202315,451693,60.13,127.0240223,37.56746495
59,1003,M,202300,451674,1.11402E+18,377.76,11140650,208040,202293,451667,202306,451679,94.44,127.0239317,37.56734784
60,1003,M,202319,451684,1.11402E+18,160.68,11140650,208040,202312,451677,202325,451691,80.34,127.0241468,37.5674379
61,1003,M,202308,451672,1.11402E+18,178.92,11140650,208040,202303,451666,202312,451678,59.64,127.0240222,37.5673298
62,1001,M,202326,451691,1.11402E+18,26.69,11140650,208040,202322,451686,202331,451694,26.69,127.024226,37.56750095
63,1003,M,202330,451680,1.11402E+18,176.76,11140650,208040,202325,451674,202336,451686,58.92,127.0242713,37.56740183
64,1003,M,202335,451689,1.11402E+18,133.34,11140650,208040,202329,451683,202341,451694,66.67,127.0243279,37.56748291
65,1001,M,202334,451663,1.11402E+18,35.59,11140650,208040,202330,451660,202339,451667,35.59,127.0243165,37.56724865
66,1003,M,202344,451683,1.11402E+18,45.59,11140650,208040,202339,451678,202349,451687,45.59,127.0244297,37.56742882
67,1003,M,202341,451673,1.11402E+18,143.56,11140650,208040,202335,451667,202347,451679,71.78,127.0243957,37.56733873
68,1001,M,202287,451701,1.11402E+18,75.84,11140650,208040,202283,451694,202291,451708,75.84,127.0237846,37.56759114
69,1001,M,200167,452031,1.11402E+18,55.45,11140605,207237,200161,452027,200173,452036,55.45,126.9997882,37.57056708
70,1001,M,199846,452009,1.11402E+18,192.06,11140605,207238,199840,452003,199853,452015,96.03,126.9961546,37.57036884
71,1003,M,199866,452093,1.11402E+18,121.22,11140605,207219,199861,452088,199872,452098,60.61,126.996381,37.57112567
72,1001,M,202146,451702,1.11402E+18,39.36,11140650,208032,202141,451696,202152,451707,39.36,127.0221886,37.56760048
73,1001,M,202152,451694,1.11402E+18,28.3,11140650,208032,202148,451690,202156,451699,28.3,127.0222565,37.56752839
74,1001,M,202147,451689,1.11402E+18,45.62,11140650,208032,202142,451684,202153,451694,45.62,127.0221999,37.56748335
75,1001,M,202148,451682,1.11402E+18,29.14,11140650,208032,202144,451677,202153,451686,29.14,127.0222112,37.56742028
76,1003,M,202157,451686,1.11402E+18,75.02,11140650,208032,202151,451682,202162,451691,37.51,127.0223131,37.5674563
77,1003,M,202160,451676,1.11402E+18,193.28,11140650,208032,202153,451669,202168,451683,96.64,127.022347,37.56736619
78,1003,M,202153,451661,1.11402E+18,163.16,11140650,208032,202146,451655,202160,451668,81.58,127.0222677,37.56723106
79,1003,M,202160,451632,1.11402E+18,121.04,11140650,208032,202157,451627,202164,451638,60.52,127.0223469,37.56696976
80,1003,M,202112,451526,1.11402E+18,92.25,11140650,208076,202109,451520,202114,451531,30.75,127.0218033,37.56601482
81,1003,M,202107,451541,1.11402E+18,22.16,11140650,208058,202104,451537,202111,451545,22.16,127.0217467,37.56614998
82,1003,M,199775,452105,1.11402E+18,116.32,11140605,207218,199772,452097,199779,452113,58.16,126.9953509,37.57123377
83,1003,M,199769,452103,1.11402E+18,156.46,11140605,207218,199763,452095,199773,452111,78.23,126.995283,37.57121575
84,1001,M,199761,452084,1.11402E+18,43.19,11140605,207230,199756,452079,199766,452089,43.19,126.9951924,37.57104456
85,1003,M,202105,451552,1.11402E+18,45.95,11140650,208058,202100,451546,202110,451558,45.95,127.0217241,37.56624909
86,1003,M,202110,451560,1.11402E+18,42.57,11140650,208058,202105,451555,202116,451565,42.57,127.0217807,37.56632116
87,1003,M,202115,451565,1.11402E+18,45.98,11140650,208058,202110,451559,202120,451572,45.98,127.0218373,37.5663662
88,1001,M,202119,451566,1.11402E+18,11.89,11140650,208058,202116,451562,202122,451569,11.89,127.0218826,37.5663752
89,1001,M,202119,451573,1.11402E+18,31.8,11140650,208058,202115,451569,202124,451577,31.8,127.0218826,37.56643827
90,1001,M,199053,451757,1.11402E+18,92.84,11140605,206974,199048,451751,199059,451763,92.84,126.9871786,37.56809782
91,1001,M,200207,452176,1.11402E+18,19.23,11140605,207211,200202,452172,200212,452179,19.23,127.000241,37.5718735
92,1001,M,202040,452286,1.11402E+18,35.78,11140670,208206,202036,452281,202043,452291,35.78,127.0209904,37.57286248
93,1001,M,198114,451984,1.11401E+18,106.45,11140550,206593,198105,451974,198124,451991,106.45,126.9765493,37.57014155
94,1001,M,198182,452080,1.11401E+18,72.69,11140550,206515,198177,452075,198186,452085,72.69,126.9773188,37.57100664
