WGS84위도,WGS84경도
37.5689,127.0121
37.5693,127.0142
37.5644,127.0103
37.5637,127.011
37.5646,127.0129
37.5626,127.0119
37.5621,127.0109
37.5644,127.0113
37.5631,127.0144
37.5653,127.0142
37.5672,127.0138
37.5628,127.0132
37.5634,127.0132
37.5619,127.0132
37.5632,127.0111
37.5609,127.0133
37.5609,127.0118
37.5634,127.0151
37.5643,127.0154
37.5672,127.0169
37.5667,127.0157
37.5702,127.0182
37.5667,127.0185
37.5675,127.021
37.5664,127.0211
37.5661,127.0206
37.5657,127.0186
37.5681,127.0178
37.5658,127.023
37.5674,127.0223
37.5671,126.9952
37.5658,126.992
37.5678,127.0002
37.5623,126.9953
37.5603,127.0199
37.5655,126.9945
37.5657,126.9942
37.5618,127.0179
37.5609,127.0201
37.5606,127.0203
37.5604,127.0209
37.5638,127.0171
37.5573,127.0112
37.565,127.0235
37.5638,127.0181
37.5626,127.0221
37.5584,127.0113
37.5646,127.0179
37.5546,127.0144
37.548,127.01
37.5606,127.0187
37.5573,127.0166
37.564,127.013
37.5686,127.013
37.5665,127.0128
37.5635,127.012
37.5636,127.0139
37.5646,127.0119
37.5677,127.0127
37.5614,127.0133
37.5577,127.0093
37.5639,127.008
37.5636,126.9972
37.5631,127.0005
37.564,126.999
37.5649,127.0094
37.5615,127.0123
37.5643,126.9984
37.5642,127.0084
37.5644,127.0094
37.5652,127.0063
37.5662,127.0067
37.5554,127.0104
37.5524,127.0048
37.5599,127.0125
37.5579,127.0095
37.5547,127.0095
37.5544,127.005
37.5492,127.006
37.5498,127.0059
37.5498,127.0068
37.5509,127.0071
37.559,127.0123
37.5528,127.0079
37.5544,127.0099
37.5515,127.0065
37.5565,127.0099
37.5551,127.0086
37.5553,127.0078
37.5519,127.005
37.5516,127.0046
37.5525,127.0053
37.5623,127.0175
37.5621,127.0168
37.5611,127.015
37.5617,127.0159
37.5607,127.016
37.5628,127.016
37.5617,127.0193
37.563,127.0199
37.5623,127.0181
37.5641,127.0259
37.5621,127.0221
37.5654,127.0193
37.563,127.0232
37.5644,127.0209
37.5646,127.0196
37.5618,127.0072
37.5613,127.0085
37.5614,127.007
37.5608,127.0085
37.5605,127.0082
37.5603,127.0072
37.5611,127.0043
37.5617,127.0047
37.5615,127.0023
37.5624,127.0024
37.5607,127.0037
37.5605,127.0054
37.5586,127.0015
37.5593,126.9658
37.5569,126.968
37.5684,127.0197
37.5689,127.0218
37.5702,127.0217
37.5695,127.021
37.5695,127.0196
37.5656,127.0214
37.5634,127.009
37.5634,127.0076
37.5623,127.0143
37.5621,127.0103
37.564,127.009
37.5673,127.0189
37.5531,127.0085
37.5516,127.0075
