BDTYP_CD,BUL_DPN_SE,X_AXIS,Y_AXIS,HOUS_ID,TOTAL_AREA,ADMI_CD,BLK_CD,XMIN,YMIN,XMAX,YMAX,SHAPE_AREA
01003,M,202341,451673,1114016200004510000,143.56,11140650,208040,202335,451667,202347,451679,71.78
01001,M,202287,451701,1114016200004720000,75.84,11140650,208040,202283,451694,202291,451708,75.84
01001,M,200167,452031,1114015300001330000,55.45,11140605,207237,200161,452027,200173,452036,55.45
01001,M,199846,452009,1114015200001930000,192.06,11140605,207238,199840,452003,199853,452015,96.03
01003,M,199866,452093,1114015200000900015,121.22,11140605,207219,199861,452088,199872,452098,60.61
01001,M,202146,451702,1114016200001700025,39.36,11140650,208032,202141,451696,202152,451707,39.36
01001,M,202152,451694,1114016200001700024,28.3,11140650,208032,202148,451690,202156,451699,28.3
01001,M,202147,451689,1114016200001700023,45.62,11140650,208032,202142,451684,202153,451694,45.62
01001,M,202148,451682,1114016200001700020,29.14,11140650,208032,202144,451677,202153,451686,29.14
01003,M,202157,451686,1114016200001700019,75.02,11140650,208032,202151,451682,202162,451691,37.51
01003,M,202160,451676,1114016200001700018,193.28,11140650,208032,202153,451669,202168,451683,96.64
01003,M,202153,451661,1114016200001700016,163.16,11140650,208032,202146,451655,202160,451668,81.58
01003,M,202160,451632,1114016200001700033,121.04,11140650,208032,202157,451627,202164,451638,60.52
01003,M,202112,451526,1114016200000850110,92.25,11140650,208076,202109,451520,202114,451531,30.75
01003,M,202107,451541,1114016200001620020,22.16,11140650,208058,202104,451537,202111,451545,22.16
01003,M,199775,452105,1114015200001390001,116.32,11140605,207218,199772,452097,199779,452113,58.16
01003,M,199769,452103,1114015200001390002,156.46,11140605,207218,199763,452095,199773,452111,78.23
01001,M,199761,452084,1114015200001530001,43.19,11140605,207230,199756,452079,199766,452089,43.19
01003,M,202105,451552,1114016200001620017,45.95,11140650,208058,202100,451546,202110,451558,45.95
01003,M,202110,451560,1114016200001620016,42.57,11140650,208058,202105,451555,202116,451565,42.57
01003,M,202115,451565,1114016200001620015,45.98,11140650,208058,202110,451559,202120,451572,45.98
01001,M,202119,451566,1114016200001620014,11.89,11140650,208058,202116,451562,202122,451569,11.89
01001,M,202119,451573,1114016200001620013,31.8,11140650,208058,202115,451569,202124,451577,31.8
01001,M,199053,451757,1114016100000830006,92.84,11140605,206974,199048,451751,199059,451763,92.84
01001,M,200207,452176,1114015300000040013,19.23,11140605,207211,200202,452172,200212,452179,19.23
01001,M,202040,452286,1114016500016980000,35.78,11140670,208206,202036,452281,202043,452291,35.78
01001,M,198114,451984,1114010100000280000,106.45,11140550,206593,198105,451974,198124,451991,106.45
01001,M,198182,452080,1114010100000090002,72.69,11140550,206515,198177,452075,198186,452085,72.69
01001,M,197256,452017,1114017000000570000,172.88,11140520,160158,197250,452010,197262,452025,86.44
01003,M,199046,452023,1114011000000610000,176.06,11140550,206286,199035,452017,199056,452028,176.06
01003,M,199445,451630,1114016000001110003,90.56,11140605,206993,199441,451625,199449,451635,45.28
01003,M,199523,451659,1114016000000870001,181.22,11140605,206980,199518,451653,199527,451667,90.61
01003,M,199164,452046,1114011000000110019,119.02,11140550,206688,199159,452041,199168,452051,59.51
01001,M,199372,452064,1114015600001970000,177.37,11140605,207229,199366,452051,199380,452073,177.37
01001,M,199542,451694,1114016000000700007,54.06,11140605,206980,199536,451690,199549,451699,54.06
01003,M,199556,451701,1114013400000950012,106.14,11140590,207162,199551,451695,199561,451707,53.07
01001,M,199568,451662,1114013400000960003,76.52,11140590,207162,199561,451649,199575,451672,76.52
01000,M,201770,452108,1114016500012340000,73.83,11140670,208235,201763,452102,201777,452114,73.83
01001,M,201767,452116,1114016500012560000,67.04,11140670,208235,201760,452110,201773,452122,67.04
01001,M,201780,452074,1114016500005010000,65.76,11140670,207940,201775,452069,201785,452079,65.76
01001,M,199550,452078,1114015700002420006,277.26,11140605,207221,199543,452063,199560,452089,277.26
01003,M,199653,452075,1114015700001900001,218.74,11140605,207220,199643,452065,199660,452087,218.74
