관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,WGS84위도,WGS84경도
서울특별시 중구청,서울특별시 중구 청구로 98 (신당동),서울특별시 중구 신당동 387-45,생활방범,37.5609,127.0118
서울특별시 중구청,서울특별시 중구 퇴계로76길 39 (무학동),서울특별시 중구 무학동 27,생활방범,37.5634,127.0151
서울특별시 중구청,서울특별시 중구 퇴계로 394 (무학동),서울특별시 중구 무학동 43,생활방범,37.5643,127.0154
서울특별시 중구청,서울특별시 중구 다산로48길 13 (흥인동),서울특별시 중구 흥인동 12-20,생활방범,37.5672,127.0169
서울특별시 중구청,서울특별시 중구 다산로 265 (흥인동),서울특별시 중구 흥인동 156,생활방범,37.5667,127.0157
서울특별시 중구청,서울특별시 중구 다산로 269,서울특별시 중구 신당동 254-16,생활방범,37.5672,127.0159
서울특별시 중구청,서울특별시 중구 마장로9길 49-19 (황학동),서울특별시 중구 황학동 163-13,생활방범,37.5702,127.0182
서울특별시 중구청,서울특별시 중구 퇴계로83길 22 (황학동),서울특별시 중구 황학동 371-1,생활방범,37.5667,127.0185
서울특별시 중구청,서울특별시 중구 퇴계로87길 43 (황학동),서울특별시 중구 황학동 551-1,생활방범,37.5675,127.0210
서울특별시 중구청,서울특별시 중구 퇴계로87길 22 (황학동),서울특별시 중구 황학동 669,생활방범,37.5664,127.0211
서울특별시 중구청,서울특별시 중구 퇴계로 439 (황학동),서울특별시 중구 황학동 715,생활방범,37.5661,127.0206
서울특별시 중구청,서울특별시 중구 퇴계로83길 5 (황학동),서울특별시 중구 황학동 740,생활방범,37.5657,127.0186
서울특별시 중구청,서울특별시 중구 마장로 72 (흥인동),서울특별시 중구 흥인동 2-1,생활방범,37.5681,127.0178
서울특별시 중구청,서울특별시 중구 마장로 76 (흥인동),서울특별시 중구 황학동 155,생활방범,37.5682,127.0183
서울특별시 중구청,서울특별시 중구 난계로11길 8 (황학동),서울특별시 중구 황학동 811,생활방범,37.5658,127.0230
서울특별시 중구청,서울특별시 중구 난계로13길 22 (황학동),서울특별시 중구 황학동 973,생활방범,37.5674,127.0223
서울특별시 중구청,서울특별시 중구 마장로 89 (황학동),서울특별시 중구 황학동 1205,생활방범,37.5684,127.0197
서울특별시 중구청,서울특별시 중구 마장로15길 16 (황학동),서울특별시 중구 황학동 1459,생활방범,37.5689,127.0218
서울특별시 중구청,서울특별시 중구 난계로21길 33 (황학동),서울특별시 중구 황학동 1523,생활방범,37.5702,127.0217
서울특별시 중구청,서울특별시 중구 난계로17길 40 (황학동),서울특별시 중구 황학동 1749,생활방범,37.5695,127.0210
서울특별시 중구청,서울특별시 중구 난계로17길 65 (황학동),서울특별시 중구 황학동 2070,생활방범,37.5695,127.0196
서울특별시 중구청,서울특별시 중구 퇴계로 453 (황학동),서울특별시 중구 황학동 2475,생활방범,37.5656,127.0214
서울특별시 중구청,서울특별시 중구 장충단로10길 38 (광희동2가),서울특별시 중구 광희동2가 213-1,생활방범,37.5634,127.0090
서울특별시 중구청,서울특별시 중구 장충단로10길 11 (광희동2가),서울특별시 중구 광희동2가 303-42,생활방범,37.5634,127.0076
서울특별시 중구청,서울특별시 중구 장충단로8길 65 (신당동),서울특별시 중구 신당동 393-3,생활방범,37.5621,127.0103
서울특별시 중구청,서울특별시 중구 퇴계로336-7,서울특별시 중구 광희동2가188,생활방범,37.5640,127.0090
서울특별시 중구청,서울특별시 중구 퇴계로83길40-10,서울특별시 중구 황학동220,생활방범,37.5673,127.0189
서울특별시 중구청,서울특별시 중구 동호로11길 54 (신당동),서울특별시 중구 다산동 353-3,생활방범,37.5531,127.0085
서울특별시 중구청,서울특별시 중구 동호로11길 88-2 (신당동),서울특별시 중구 다산동 353-33,생활방범,37.5516,127.0075
서울특별시 중구청,서울특별시 중구 동호로11나길 7 (신당동),서울특별시 중구 다산동 353-37,생활방범,37.5525,127.0077
서울특별시 중구청,서울특별시 중구 동호로11길 22 (신당동),서울특별시 중구 다산동 361-18,생활방범,37.5541,127.0095
서울특별시 중구청,서울특별시 중구 다산로 141 (신당동),서울특별시 중구 다산동 370-61,생활방범,37.5565,127.0112
서울특별시 중구청,서울특별시 중구 다산로21길 24 (신당동),서울특별시 중구 다산동 377-103,생활방범,37.5582,127.0112
서울특별시 중구청,서울특별시 중구 다산로15길 19 (신당동),서울특별시 중구 다산동 377-127,생활방범,37.5570,127.0107
서울특별시 중구청,서울특별시 중구 청구로17길 40 (신당동),서울특별시 중구 다산동 386-86,생활방범,37.5594,127.0118
서울특별시 중구청,서울특별시 중구 청구로17길 28-29,서울특별시 중구 신당동 386-58,생활방범,37.5598,127.0122
서울특별시 중구청,서울특별시 중구 동호로20길 85 (신당동),서울특별시 중구 다산동 399-33,생활방범,37.5616,127.0097
서울특별시 중구청,서울특별시 중구 청구로17길 20 (신당동),서울특별시 중구 다산동 402-16,생활방범,37.5602,127.0118
서울특별시 중구청,서울특별시 중구 동호로20길 34-29 (신당동),서울특별시 중구 다산동 405-1,생활방범,37.5602,127.0104
서울특별시 중구청,서울특별시 중구 동호로20길 36 (신당동),서울특별시 중구 다산동 405-16,생활방범,37.5595,127.0091
서울특별시 중구청,서울특별시 중구 동호로20길 34-10 (신당동),서울특별시 중구 다산동 406-2,생활방범,37.5591,127.0099
서울특별시 중구청,서울특별시 중구 동호로20다길 26 (신당동),서울특별시 중구 다산동 413-3,생활방범,37.5585,127.0101
서울특별시 중구청,서울특별시 중구 동호로14길 11-7 (신당동),서울특별시 중구 다산동 423-1,생활방범,37.5565,127.0103
서울특별시 중구청,서울특별시 중구 동호로15길 50 (신당동),서울특별시 중구 다산동 432-24,생활방범,37.5543,127.0080
서울특별시 중구청,서울특별시 중구 동호로15길 50 (신당동),서울특별시 중구 다산동 432-24,생활방범,37.5540,127.0083
서울특별시 중구청,서울특별시 중구 동호로15길 103 (신당동),서울특별시 중구 다산동 432-73,생활방범,37.5539,127.0075
서울특별시 중구청,서울특별시 중구 동호로11나길 47 (신당동),서울특별시 중구 다산동 432-462,생활방범,37.5523,127.0057
서울특별시 중구청,서울특별시 중구 동호로11마길 34,서울특별시중구신당동432-921,생활방범,37.5507,127.0058
