개방자치단체코드,관리번호,영업상태명,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y)
3010000,3010000-103-1996-02176,폐업,63.24,100871,서울특별시 중구 황학동 2487-0번지 ,,,대명영상가요,201962.7654,451473.158
3010000,3010000-103-1996-02177,폐업,114.2,100846,서울특별시 중구 을지로3가 5-6번지 ,,,비젼,199055.2889,451579.3198
3010000,3010000-103-1996-02178,폐업,67.54,100230,서울특별시 중구 수표동 62-4번지 ,,,귀빈,198984.5044,451729.0974
3010000,3010000-103-1996-02179,폐업,148.49,100842,서울특별시 중구 을지로1가 42-0 ,서울특별시 중구 남대문로9길 39 (을지로1가),4523,시애틀,198185.7683,451601.0637
3010000,3010000-103-1996-02180,폐업,199.59,100802,서울특별시 중구 남대문로5가 395-0번지 ,,,파라오,197762.5015,450337.5806
3010000,3010000-103-1996-02181,폐업,78.16,100450,서울특별시 중구 신당동 100-2번지 ,,,케빈,201388.3011,451434.3648
3010000,3010000-103-1996-02182,영업/정상,107.44,100420,서울특별시 중구 무학동 32-1번지 ,서울특별시 중구 퇴계로76길 24 (무학동),4611,벅시,201283.3565,451322.2912
3010000,3010000-103-1996-02183,폐업,138.4,100281,서울특별시 중구 인현동1가 116-6번지 ,,,더블루,,
3010000,3010000-103-1996-02184,영업/정상,69.76,100862,서울특별시 중구 충무로4가 132-5 ,서울특별시 중구 퇴계로 207 (충무로4가),4557,갤럭시,199471.2693,451041.0343
3010000,3010000-103-1996-02185,폐업,131.97,100080,서울특별시 중구 북창동 93-3번지 ,,,둥지,198063.009,451052.005
3010000,3010000-103-1996-02186,영업/정상,104.56,100824,서울특별시 중구 신당동 292-149 지하1층 ,서울특별시 중구 퇴계로78길 43 (신당동, 지하1층),4585,201386.5987,451237.7157
3010000,3010000-103-1996-02187,영업/정상,78.4,100824,서울특별시 중구 신당동 292-152,서울특별시 중구 다산로38길 11 (신당동),4585,화음열린라이브,201381.5998,451226.0831
3010000,3010000-103-1996-11597,폐업,82.12,100013,서울특별시 중구 충무로3가 25-7번지 ,,,청노루,,
3010000,3010000-103-1996-11598,폐업,104.08,100854,서울특별시 중구 입정동 263-1번지 ,,,칼튼,199134.9175,451720.262
3010000,3010000-103-1996-11600,폐업,67.47,100281,서울특별시 중구 인현동1가 141-2번지 ,,,빠리,199336.0093,451201.8239
3010000,3010000-103-1996-12260,폐업,115.2,100845,서울특별시 중구 을지로2가 199-33번지 ,,,매트로호텔단란주점,198492.8019,451427.349
3010000,3010000-103-1996-13870,폐업,34.2,100013,서울특별시 중구 충무로3가 57-24번지 ,,,바나나,199210.0831,451112.8236
3010000,3010000-103-1996-13871,폐업,59.64,100846,서울특별시 중구 을지로3가 320-12번지 ,,,벤처,199147.2401,451462.4385
3010000,3010000-103-1997-02031,폐업,124.74,100102,서울특별시 중구 태평로2가 361-1번지 ,,,체스,197859.8287,451364.299
3010000,3010000-103-1997-02032,폐업,183.75,100180,서울특별시 중구 다동 97-0번지 ,,,하이크라스,198300.0223,451702.5462
3010000,3010000-103-1997-02033,폐업,64,100845,서울특별시 중구 을지로2가 199-56번지 ,,,얀,198512.3417,451453.2367
3010000,3010000-103-1997-02034,폐업,64.17,100411,서울특별시 중구 광희동1가 293-0번지 ,,,금선,200242.599,451425.2116
3010000,3010000-103-1997-02035,폐업,89.3,100161,서울특별시 중구 봉래동1가 88-3번지 ,,,거성,,
3010000,3010000-103-1997-02036,폐업,85.34,100845,서울특별시 중구 을지로2가 199-56번지 ,,,카네기,198512.3417,451453.2367
3010000,3010000-103-1997-02037,폐업,26.25,100021,서울특별시 중구 명동1가 42-2번지 ,,,하버드,198554.018,451368.0976
3010000,3010000-103-1997-02051,폐업,145.7,100861,서울특별시 중구 충무로2가 65-5번지 ,,,모모,198670.8464,451001.1879
3010000,3010000-103-1997-02052,폐업,63.72,100824,서울특별시 중구 신당동 292-126번지 ,,,금선화,201249.0883,451153.2343
3010000,3010000-103-1997-02053,폐업,79.02,100013,서울특별시 중구 충무로3가 25-12번지 ,,,청노루,199205.2541,451196.6405
3010000,3010000-103-1997-02055,폐업,111.91,100864,서울특별시 중구 태평로2가 69-1번지 ,,,카사블랑카,197904.6111,451181.56
3010000,3010000-103-1997-02056,폐업,136.59,100013,서울특별시 중구 충무로3가 59-11번지 ,,,록희,199119.114,451114.4484
3010000,3010000-103-1997-02057,폐업,80.73,100846,서울특별시 중구 을지로3가 302-15번지 ,,,지지,199183.8349,451487.6491
3010000,3010000-103-1997-02058,폐업,114.15,100849,서울특별시 중구 을지로4가 261-3번지 ,,,스페인,199667.9186,451561.4078
3010000,3010000-103-1997-02059,폐업,202.8,100180,서울특별시 중구 다동 58-1번지 ,,,에쿠우스,198264.7839,451746.9218
3010000,3010000-103-1997-02060,폐업,12.9,100080,서울특별시 중구 북창동 103-1번지 ,,,코리아,,
3010000,3010000-103-1997-02061,폐업,50.64,100080,서울특별시 중구 북창동 18-9번지 ,,,시드니,197943.5033,451186.902
3010000,3010000-103-1997-02062,폐업,80.5,100080,서울특별시 중구 북창동 19-3번지 ,서울특별시 중구 남대문로1길 37 (북창동),4526,에스에스가요,197913.8058,451155.4175
3010000,3010000-103-1997-02063,폐업,96.1,100834,서울특별시 중구 신당동 374-17번지 ,,,이프,200858.1032,450349.1892
3010000,3010000-103-1997-02064,폐업,49.73,100032,서울특별시 중구 저동2가 48-1번지 ,,,해븐BAR,199145.263,451255.6053
3010000,3010000-103-1997-02065,폐업,14.62,100846,서울특별시 중구 을지로3가 5-7번지 ,,,라일락,199034.3367,451570.9685
3010000,3010000-103-1997-02067,폐업,105.96,100420,서울특별시 중구 무학동 41-0번지 ,,,벤츠단란주점,201262.1966,451300.417
3010000,3010000-103-1997-02068,폐업,103.57,100869,서울특별시 중구 황학동 738-0번지 ,,,에버그린,201601.7862,451508.7369
3010000,3010000-103-1997-02069,폐업,292.3,100887,서울특별시 중구 신당동 213-8번지 ,,,OB광장,201040.3526,451852.1426
3010000,3010000-103-1997-02070,폐업,95.95,100080,서울특별시 중구 북창동 63-0번지 ,,,백악관,197963.4802,451166.9203
3010000,3010000-103-1997-02071,폐업,82.26,100080,서울특별시 중구 북창동 17-1번지 ,,,쌈바,197996.3032,451214.9404
3010000,3010000-103-1997-02073,폐업,85.14,100080,서울특별시 중구 북창동 82-0번지 ,,,빅토리안,197996.1588,451158.7589
3010000,3010000-103-1997-02074,폐업,80.64,100300,서울특별시 중구 초동 19-9번지 ,,,폭풍,199247.6529,451416.8542
3010000,3010000-103-1997-02075,폐업,75.58,100411,서울특별시 중구 광희동1가 174-0번지 ,,,곰,200466.695,451383.2242
3010000,3010000-103-1997-02076,폐업,144.86,100180,서울특별시 중구 다동 170-1번지 ,,,위하여,198178.212,451722.2396
3010000,3010000-103-1997-02077,폐업,110.13,100195,서울특별시 중구 을지로5가 79-1번지 ,,,화원노래,200248.4836,451534.2248
3010000,3010000-103-1997-02078,폐업,118.6,100330,서울특별시 중구 주교동 43-25번지 ,,,삼바,199893.2289,451824.9473
3010000,3010000-103-1997-02079,폐업,52.45,100080,서울특별시 중구 북창동 71-1번지 ,,,보스투,197961.6599,451119.7087
3010000,3010000-103-1997-02080,폐업,123.51,100411,서울특별시 중구 광희동1가 142-0번지 ,,,비지니스,200498.4975,451494.7068
3010000,3010000-103-1997-02081,폐업,92.03,100864,서울특별시 중구 태평로2가 69-2번지 ,서울특별시 중구 세종대로 76-1 (태평로2가),4526,블루,197893.8092,451189.6086
3010000,3010000-103-1997-02082,폐업,92.4,100032,서울특별시 중구 저동2가 76-6번지 ,,,월드단란주점,199025.8253,451419.1703
3010000,3010000-103-1997-02083,폐업,57.11,100080,서울특별시 중구 북창동 105-0번지 ,,,블랙화이트,198025.0244,451080.0318
3010000,3010000-103-1997-02084,폐업,40.78,100080,서울특별시 중구 북창동 99-2번지 ,,,카마수트라,197947.5965,451081.9042
3010000,3010000-103-1997-02085,폐업,71.57,100080,서울특별시 중구 북창동 11-5번지 ,,,프리맨,198010.6794,451244.6323
3010000,3010000-103-1997-02086,폐업,84.15,100013,서울특별시 중구 충무로3가 49-0번지 2필지 ,,,CNN,199279.6774,451120.5177
3010000,3010000-103-1997-02087,폐업,97.35,100330,서울특별시 중구 주교동 72-1번지 ,,,연가,199861.839,451843.1321
3010000,3010000-103-1997-02088,폐업,91.79,100861,서울특별시 중구 충무로2가 61-1번지 ,,,시애틀,198877.7632,451053.9068
3010000,3010000-103-1997-02089,폐업,36.85,100868,서울특별시 중구 황학동 119-0번지 ,,,걸어서하늘까지,201640.4901,451801.0772
3010000,3010000-103-1997-02090,폐업,33.25,100310,서울특별시 중구 오장동 139-17번지 ,,,명동단란주점,200087.0293,451381.6003
3010000,3010000-103-1997-02091,폐업,143.94,100819,서울특별시 중구 신당동 140-34번지 ,,,호프타운,201693.2948,451441.9003
3010000,3010000-103-1997-02092,영업/정상,84.77,100895,서울특별시 중구 신당동 309-18번지 ,서울특별시 중구 다산로 181-2, 지하 1층 (신당동),4608,201099.7594,450833.3061
3010000,3010000-103-1997-02093,폐업,74.91,100864,서울특별시 중구 태평로2가 69-6번지 ,,,C.N.N,451144.2217,단란주점
3010000,3010000-103-1997-02094,폐업,112.6,100810,서울특별시 중구 명동2가 50-11번지 3층 ,,,하이트클럽,451232.9697,단란주점
3010000,3010000-103-1997-02095,폐업,47.96,100863,서울특별시 중구 충무로4가 101-4번지 ,,,산 단란주점,451127.9489,단란주점
3010000,3010000-103-1997-02103,폐업,101.29,100842,서울특별시 중구 을지로1가 37-0번지 ,,,스피드단란주점,451612.4388,단란주점
3010000,3010000-103-1997-02104,폐업,63.63,100851,서울특별시 중구 을지로6가 18-137번지 ,,,을지단란,451667.7933,단란주점
3010000,3010000-103-1997-02105,폐업,52.14,100866,서울특별시 중구 필동1가 16-1번지 ,,,메아리,451000.4228,단란주점
3010000,3010000-103-1997-02106,폐업,37.58,100800,서울특별시 중구 남대문로5가 12-8번지 ,,,방촌,450617.7859,단란주점
3010000,3010000-103-1997-02107,폐업,45.24,100863,서울특별시 중구 충무로4가 24-6번지 ,,,필,451127.1666,단란주점
3010000,3010000-103-1997-02108,폐업,71.43,100230,서울특별시 중구 수표동 11-2번지 ,,,황제,451725.143,단란주점
3010000,3010000-103-1997-02109,폐업,62.04,100372,서울특별시 중구 만리동2가 24-1번지 지상1층 ,서울특별시 중구 만리재로 177 (만리동2가,지상1층),4501,196905.8922,450233.8806
3010000,3010000-103-1997-02110,폐업,113.04,100841,서울특별시 중구 신당동 369-76번지 ,,,보스,450419.3557,단란주점
3010000,3010000-103-1997-11596,폐업,115.62,100411,서울특별시 중구 광희동1가 193-0번지 ,,,영화비지니스크럽,451402.8925,단란주점
3010000,3010000-103-1997-11692,영업/정상,80.39,100823,서울특별시 중구 신당동 247-2 (지하1층) ,서울특별시 중구 퇴계로 388-1 (신당동,(지하1층)),4611,201232.5025,451413.7832
3010000,3010000-103-1998-01994,폐업,75.82,100846,서울특별시 중구 을지로3가 320-0번지 ,서울특별시 중구 을지로12길 11 (을지로3가),4550,리오,199158.5929,451485.5034
3010000,3010000-103-1998-01995,폐업,45.95,100411,서울특별시 중구 광희동1가 188-4번지 ,,,이집트,200497.2121,451372.1816
3010000,3010000-103-1998-01996,폐업,79.34,100080,서울특별시 중구 북창동 71-2번지 ,,,야생마,197945.5493,451122.4688
3010000,3010000-103-1998-01997,폐업,75.42,100848,서울특별시 중구 을지로4가 187-2번지 ,,,자유성,199836.85,451565.451
3010000,3010000-103-1998-01998,폐업,45.24,100013,서울특별시 중구 충무로3가 24-5번지 ,,,삼보단란주점,199143.472,451193.9909
3010000,3010000-103-1998-01999,폐업,125.33,100011,서울특별시 중구 충무로1가 22-5번지 6층 ,,,칸타타,198508.5189,451024.9741
3010000,3010000-103-1998-02011,폐업,38.25,100094,서울특별시 중구 남대문로4가 17-33번지 ,,,젠틀맨,197933.2913,451036.5744
3010000,3010000-103-1998-02013,폐업,71.72,100814,서울특별시 중구 서소문동 91-0번지 ,,,쇼걸,197769.1005,451242.91
3010000,3010000-103-1998-02014,폐업,30.1,100330,서울특별시 중구 주교동 88-0번지 ,,,청강,199829.2563,451811.4593
3010000,3010000-103-1998-02015,폐업,181.2,100080,서울특별시 중구 북창동 125-0번지 ,,,초원의집투,197979.2058,451026.554
3010000,3010000-103-1998-02016,폐업,106.9,100080,서울특별시 중구 북창동 104-0번지 ,,,파라다이스2,197986.8957,451089.6626
3010000,3010000-103-1998-02017,폐업,132.31,100080,서울특별시 중구 북창동 18-4번지 ,,,황태자,197947.6745,451208.4304
3010000,3010000-103-1998-02018,폐업,144.42,100411,서울특별시 중구 광희동1가 187-5번지 ,,,일번지,200510.2867,451400.5619
3010000,3010000-103-1998-02019,폐업,87.94,100080,서울특별시 중구 북창동 42-2,서울특별시 중구 세종대로18길 14 (북창동),4526,프라자,197975.1758,451262.7828
3010000,3010000-103-1998-02020,폐업,47.46,100861,서울특별시 중구 충무로2가 60-12번지 ,,,예스투,198889.0986,451055.8534
3010000,3010000-103-1998-02021,폐업,73.65,100846,서울특별시 중구 을지로3가 334-3번지 ,,,리키단란주점,199141.503,451532.9996
3010000,3010000-103-1998-02022,폐업,85.04,100080,서울특별시 중구 북창동 129-1번지 ,,,황궁,198031.7367,451030.1256
3010000,3010000-103-1998-02023,폐업,27.12,100864,서울특별시 중구 태평로2가 68-13번지 ,,,베르사체,197923.1075,451210.1559
3010000,3010000-103-1998-02024,폐업,76.38,100864,서울특별시 중구 태평로2가 68-6번지 ,,,LA,197916.1729,451198.4543
3010000,3010000-103-1998-02025,폐업,118.65,100180,서울특별시 중구 다동 92-0번지 ,,,오페라하우스,198345.0222,451737.6934
3010000,3010000-103-1998-02026,폐업,22.57,100013,서울특별시 중구 충무로3가 57-5번지 ,,,렉스단란주점,199235.3389,451113.1481
3010000,3010000-103-1998-02027,폐업,50.92,100845,서울특별시 중구 을지로2가 88-1번지 ,,,월드,,
3010000,3010000-103-1998-02028,폐업,148.01,100846,서울특별시 중구 을지로3가 348-7번지 ,,,따봉,199046.1362,451509.6373
3010000,3010000-103-1998-02029,폐업,80.01,100330,서울특별시 중구 주교동 124-1번지 ,,,금마차,199776.9708,451805.6567
3010000,3010000-103-1998-02030,폐업,106.4,100080,서울특별시 중구 북창동 104-0번지 ,,,다빈치,197986.8957,451089.6626
3010000,3010000-103-1998-02038,폐업,76.8,100230,서울특별시 중구 수표동 11-2번지 ,,,황제,199111.9502,451725.143
3010000,3010000-103-1998-02039,영업/정상,59.4,100871,서울특별시 중구 황학동 2487-0번지 ,서울특별시 중구 퇴계로 461 (황학동),4575,영영단란주점,201962.7654,451473.158
3010000,3010000-103-1998-02040,폐업,122.61,100819,서울특별시 중구 신당동 121-1번지 ,,,황제단란주점,201525.1611,451401.1935
3010000,3010000-103-1998-02041,폐업,43.26,100819,서울특별시 중구 신당동 121-2번지 ,,,청기와,201538.7265,451406.3751
3010000,3010000-103-1998-02042,영업/정상,123.51,100411,서울특별시 중구 광희동1가 142-0 ,서울특별시 중구 을지로44길 10 (광희동1가),4561,딘농3,200498.4975,451494.7068
3010000,3010000-103-1998-02043,폐업,64.8,100823,서울특별시 중구 신당동 242-4번지 ,,,샤넬,201224.3597,451263.4901
3010000,3010000-103-1998-02044,폐업,123.48,100411,서울특별시 중구 광희동1가 187-2번지 ,,,힐타운,200511.77,451411.7254
3010000,3010000-103-1998-02045,폐업,113.69,100800,서울특별시 중구 남대문로5가 19-4번지 ,,,하이트단란주점,197671.9552,450714.5172
3010000,3010000-103-1998-02046,폐업,92.56,100080,서울특별시 중구 북창동 122-0번지 (1층) ,,,센세이션,197959.8106,451024.3296
3010000,3010000-103-1998-02047,폐업,118.15,100080,서울특별시 중구 북창동 124-0번지 ,,,비젼,,
3010000,3010000-103-1998-02048,폐업,81.83,100800,서울특별시 중구 남대문로5가 63-11번지 ,,,에버그린,197503.7803,450607.0003
3010000,3010000-103-1998-02049,폐업,107.9,100053,서울특별시 중구 회현동3가 10-0번지 ,,,(주)뉴오리엔탈관광호텔,198491.235,450895.8551
3010000,3010000-103-1998-11594,폐업,59.93,100871,서울특별시 중구 황학동 2529-0번지 ,,,ABC단란주점,,
3010000,3010000-103-1998-11595,영업/정상,105.66,100080,서울특별시 중구 북창동 120-3번지 1층 ,서울특별시 중구 남대문로1길 12, 1층 (북창동),4526,197956.4873,451034.3275
3010000,3010000-103-1999-01993,폐업,88.95,100210,서울특별시 중구 수하동 16-0번지 ,,,라이브가요주점,,
3010000,3010000-103-1999-02012,폐업,83.79,100310,서울특별시 중구 오장동 69-12번지 ,,,오장동노래주점,199855.3209,451374.9261
3010000,3010000-103-1999-02050,폐업,88.87,100861,서울특별시 중구 충무로2가 61-1번지 ,,,명동부르스,198877.7632,451053.9068
3010000,3010000-103-1999-02164,폐업,66,100194,서울특별시 중구 을지로4가 316-1번지 ,,,대신천금,199500.4199,451531.4918
3010000,3010000-103-1999-02188,폐업,41.27,100013,서울특별시 중구 충무로3가 25-2번지 ,,,지니단란주점,199216.2606,451202.9019
3010000,3010000-103-1999-02205,폐업,148.53,100842,서울특별시 중구 을지로1가 32-0번지 ,,,아시나요,198118.8801,451614.3629
3010000,3010000-103-1999-02230,폐업,115.4,100842,서울특별시 중구 을지로1가 46-2번지 지상1,2층 ,,,단란주점,198156.646
3010000,3010000-103-1999-02249,폐업,68.6,100310,서울특별시 중구 오장동 206-37번지 ,,,초연,200087.8257,451349.24
3010000,3010000-103-1999-02257,폐업,93.02,100819,서울특별시 중구 신당동 140-4번지 ,,,앗사,201691.9031,451465.6573
3010000,3010000-103-1999-02278,폐업,58.28,100080,서울특별시 중구 북창동 120-2번지 ,,,서울크럽,197955.2366,451040.2211
3010000,3010000-103-1999-02292,폐업,65.52,100819,서울특별시 중구 신당동 110-7번지 ,,,고구려,201493.8175,451443.4825
3010000,3010000-103-1999-02301,폐업,59.91,100411,서울특별시 중구 광희동1가 182-28번지 ,,,탈렌트,200527.8613,451446.0759
3010000,3010000-103-1999-02313,폐업,74.11,100080,서울특별시 중구 북창동 134-1번지 ,,,대벌,197960.9876,451009.7108
3010000,3010000-103-1999-02322,폐업,120.61,100180,서울특별시 중구 다동 183-0번지 ,,,대명,,
3010000,3010000-103-1999-02358,폐업,67.68,100372,서울특별시 중구 만리동2가 231-22번지 ,,,록원단란주점,,
3010000,3010000-103-1999-02412,폐업,47.15,100080,서울특별시 중구 북창동 63-0번지 ,,,라이브,197963.4802,451166.9203
3010000,3010000-103-1999-11654,폐업,102.12,100195,서울특별시 중구 을지로5가 273-10번지 지하1층 ,,,나이스,200076.1914,451573.8624
3010000,3010000-103-1999-11658,폐업,116.15,100032,서울특별시 중구 저동2가 47-3번지 ,,,백연,199100.4129,451298.4147
3010000,3010000-103-1999-11687,폐업,136.81,100846,서울특별시 중구 을지로3가 118-6번지 ,,,키노,199229.1663,451588.9415
3010000,3010000-103-1999-11709,폐업,59.88,100802,서울특별시 중구 남대문로5가 176-0번지 ,,,비즈니스단란주점,197777.22,450637.2844
3010000,3010000-103-1999-11715,폐업,82.63,100013,서울특별시 중구 충무로3가 49-0번지 지산빌딩 지하동 12호,,,씨엔엔,199279.6774,451120.5177
3010000,3010000-103-1999-11748,폐업,129.19,100806,서울특별시 중구 남창동 169-4번지 ,,,파바로티,197913.8141,450584.5475
