자치구,안심 주소,위도,경도,CCTV 수량,수정 일시
중구,공034(다산로 24길 23 맞은편,청구동 333-370,청구동마을마당),37.5559,127.0163,1,2022-12-01
중구,공034보1(다산로24길23맞은편,청구동333-370,청구동마을마당),37.5559,127.0163,1,2022-12-01
중구,공035(퇴계로 36가길 60 앞,필동 2가 111-2,필동마을마당)1,37.5578,126.9954,1,2022-12-01
중구,공035보1(퇴계로 36가길 60 앞,필동 2가 111-2,필동마을마당1,37.5578,126.9954,1,2022-12-01
중구,공036(동호로11차길 1 옆,다산동 432-813,충현마을마당)1,37.5526,127.0058,1,2022-12-01
중구,공036보1(동호로11차길 1 옆,다산동 432-813,충현마을마당)1,37.5526,127.0058,1,2022-12-01
중구,공037(동호로 15길 60 옆,다산동 432-1584,다산동마을마당),37.5543,127.0086,1,2022-12-01
중구,공037보1(동호로 15길 60 옆,다산동 432-1584,다산동마을마당,37.5543,127.0086,1,2022-12-01
중구,공038(서소문로2길 46 위,중림동 1046,충정녹지대),37.5572,126.9632,1,2022-12-01
중구,공038보1(서소문로2길 46 위,중림동 1046,충정녹지대),37.5572,126.9632,1,2022-12-01
중구,공039(청구로1길 23,신당동 843,응봉근린공원),37.5576,127.0170,1,2022-12-01
중구,공039보1(청구로1길 23,신당동 843,응봉근린공원),37.5576,127.0170,1,2022-12-01
중구,공040(다산로36가길26-14,신당5동57-295,꿈누리어린이공원),37.5606,127.0207,1,2022-12-01
중구,공040보1(다산로36가길26-14,신당5동57-295,꿈누리어린이),37.5606,127.0207,1,2022-12-01
중구,공040보2(다산로36가길26-14,신당5동57-295,꿈누리어린이),37.5606,127.0207,1,2022-12-01
중구,공041(다산로36길64 114동뒤,동화동45-42,동화어린이공원),37.5602,127.0183,1,2022-12-01
중구,공041보1(다산로36길64 114동뒤,동화동45-42,동화어린이공원),37.5602,127.0183,1,2022-12-01
중구,공041보2(다산로36길64 114동뒤,동화동45-42,동화어린이공원),37.5602,127.0183,1,2022-12-01
중구,공042(다산로36길64 114동뒤,동화동45-42,동화어린이공원),37.5601,127.0182,1,2022-12-01
중구,공042보1(다산로36길64 114동뒤,동화동45-42,동화어린이공원),37.5601,127.0182,1,2022-12-01
중구,공042보2(다산로36길64 114동뒤,동화동45-42,동화어린이공원),37.5601,127.0182,1,2022-12-01
중구,공043(동호로5길19,약수동309-262,금호터널 쉼터),37.5515,127.0134,1,2022-12-01
중구,공043보1(동호로5길19,약수동309-262,금호터널 쉼터),37.5515,127.0134,1,2022-12-01
중구,공043보2(동호로5길19,약수동309-262,금호터널 쉼터),37.5515,127.0134,1,2022-12-01
중구,공044(다산로48길33,황학동 755,황학어린이공원1),37.5679,127.0181,1,2022-12-01
중구,공044보1(다산로48길33,황학동 755,황학어린이공원1),37.5677,127.0181,1,2022-12-01
중구,공044보2(다산로48길33,황학동 755,황학어린이공원1),37.5677,127.0181,1,2022-12-01
중구,공044보3(다산로48길33,황학동 755,황학어린이공원1),37.5677,127.0181,1,2022-12-01
중구,공044보4(다산로48길33,황학동 755,황학어린이공원1),37.5677,127.0181,1,2022-12-01
중구,공045(다산로48길33,황학동 755,황학어린이공원2),37.5674,127.0180,1,2022-12-01
중구,공045보1(다산로48길33,황학동 755,황학어린이공원2),37.5674,127.0180,1,2022-12-01
중구,공045보2(다산로48길33,황학동 755,황학어린이공원2),37.5674,127.0180,1,2022-12-01
중구,공046(신당동294-40,신당동294-40,청구역 쉼터),37.5599,127.0140,1,2022-12-01
중구,공046보1(신당동294-40,신당동294-40,청구역 쉼터),37.5599,127.0140,1,2022-12-01
