,개방자치단체코드,관리번호,영업상태명,소재지면적,소재지우편번호,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),경도,위도
30,3010000,3010000-201-1973-00166,영업/정상,151.84,100273,서울특별시 중구 필동3가 5-1번지 5층 ,서울특별시 중구 서애로 22-1 (필동3가,4624,00:59:59,199681.3973,450929.4385,126.994292,37.56064206
31,3010000,3010000-201-1973-00178,영업/정상,198.55,100411,서울특별시 중구 광희동1가 155-0번지 ,서울특별시 중구 을지로44길 24-4 (광희동1가),에비뉴모텔,여관업,200480.794,451428.2995,127.0033399,37.56513673
32,3010000,3010000-201-1973-00206,영업/정상,10,571,100191,서울특별시 중구 을지로1가 188-3번지 ,4533,00:59:59,198113.3707,451483.3,126.9765435,37.5656303
33,3010000,3010000-201-1973-00224,영업/정상,103.08,100808,서울특별시 중구 만리동1가 53-16번지 ,서울특별시 중구 만리재로35길 46-14 (만리동1가),호수모텔,여관업,197087.4804,450515.2054,126.9649356,37.55690513
34,3010000,3010000-201-1974-00162,영업/정상,294.4,100-330,서울특별시 중구 주교동 106-2,서울특별시 중구 을지로27길 31-2 (주교동),트래블러스 A 코리아 호스텔,여관업,199833.6667,451787.6268,126.9960151,37.56837429
35,3010000,3010000-201-1974-00217,영업/정상,1,224,100195,서울특별시 중구 을지로5가 133-1번지 ,4561,00:59:59,200225.9831,451511.2628,127.0004557,37.5658843
36,3010000,3010000-201-1974-00225,영업/정상,195.22,100300,서울특별시 중구 초동 52-1번지 ,서울특별시 중구 마른내로2길 15-10 (초동),럭키장여관,여관업,199254.839,451254.7186,126.9894638,37.56357252
37,3010000,3010000-201-1975-00138,영업/정상,164.33,100080,서울특별시 중구 북창동 65-1번지 ,서울특별시 중구 세종대로14길 22-2 (북창동),대우모텔,여관업,197976.8515,451162.428,126.9749992,37.56273898
38,3010000,3010000-201-1975-00209,영업/정상,3,776,100042,서울특별시 중구 남산동2가 31-1번지 ,4631,00:59:59,198644.069,450827.8618,126.9825517,37.55972585
39,3010000,3010000-201-1976-00049,영업/정상,324.9,100360,서울특별시 중구 중림동 334-2번지 ,서울특별시 중구 만리재로35길 46-3 (중림동),대영장여관,여관업,197102.7608,450548.2043,126.9651084,37.5572025
40,3010000,3010000-201-1976-00098,영업/정상,196.94,100870,서울특별시 중구 황학동 840번지 ,서울특별시 중구 마장로18길 38 (황학동),대림,여관업,201959.4958,451546.2653,127.0200772,37.56619773
41,3010000,3010000-201-1976-00196,영업/정상,274.96,100440,서울특별시 중구 황학동 2504-0 ,서울특별시 중구 난계로11길 13 (황학동),크리스티,여관업,201933.9887,451520.3697,127.0197884,37.56596447
42,3010000,3010000-201-1976-00207,영업/정상,14,97,100864,서울특별시 중구 태평로2가 23 ,4525,00:40:00,197979.0212,451376.7834,126.9750232,37.56467031
43,3010000,3010000-201-1979-00124,영업/정상,111.84,100151,서울특별시 중구 충정로1가 57-0번지 ,서울특별시 중구 새문안로 28-1 (충정로1가),모텔 비,여관업,197185.1249,451712.2603,126.966036,37.56769078
44,3010000,3010000-201-1981-00057,영업/정상,352.77,100411,서울특별시 중구 광희동1가 187-2 ,서울특별시 중구 을지로44길 23 (광희동1가),필스테이 동대문,여관업,200511.77,451411.7254,127.0036905,37.56498738
45,3010000,3010000-201-1981-00125,영업/정상,161.76,100095,서울특별시 중구 남대문로5가 217-0번지 ,서울특별시 중구 세종대로2길 11 (남대문로5가),삼정여관,여관업,197650.5365,450594.258,126.9713077,37.55761904
46,3010000,3010000-201-1981-00179,영업/정상,769.26,100014,서울특별시 중구 충무로4가 155-2번지 ,서울특별시 중구 퇴계로37길 22 (충무로4가),CF,여관업,199374.9445,451101.6226,126.9908234,37.56219324
47,3010000,3010000-201-1981-00199,영업/정상,370.96,100196,서울특별시 중구 을지로6가 18-41번지 ,서울특별시 중구 을지로41길 8 (을지로6가),허브모텔,여관업,200486.7969,451608.3303,127.0034079,37.56675878
48,3010000,3010000-201-1982-00201,영업/정상,295,100871,서울특별시 중구 황학동 2513,서울특별시 중구 퇴계로 449-17 (황학동),크리스티2,여관업,201914.0679,451528.8264,127.0195629,37.5660407
49,3010000,3010000-201-1983-00062,영업/정상,240.36,100080,서울특별시 중구 북창동 94-8번지 ,서울특별시 중구 남대문로1길 26-11 (북창동),(주)디자이너스컴퍼니,여관업,197984.7399,451118.486,126.9750886,37.56234309
50,3010000,3010000-201-1983-00185,영업/정상,13,559.88,100392,서울특별시 중구 장충동2가 186-54 ,4618,00:40:00,200141.9985,450922.2668,126.9995051,37.56057752
51,3010000,3010000-201-1983-00194,영업/정상,611.37,100450,서울특별시 중구 신당동 381-8번지 ,서울특별시 중구 동호로 196 (신당동),J모텔,여관업,200846.8378,450376.3221,127.0074819,37.55565828
52,3010000,3010000-201-1983-00205,영업/정상,7,975.29,100857,서울특별시 중구 장충동2가 산 5-5번지 ,4605,00:59:59,200193.2324,449809.7447,127.0000847,37.5505538
53,3010000,3010000-201-1984-00210,영업/정상,4,250,100021,서울특별시 중구 명동1가 6-0번지 ,4538,00:59:59,198662.0732,451337.2063,126.9827545,37.56431501
54,3010000,3010000-201-1986-00067,영업/정상,157.37,100411,서울특별시 중구 광희동1가 134-0번지 ,서울특별시 중구 을지로42길 7 (광희동1가),구미장여관,여관업,200450.1943,451505.023,127.0029935,37.56582801
55,3010000,3010000-201-1987-00107,영업/정상,246.9,100440,서울특별시 중구 황학동 2526-0번지 ,서울특별시 중구 난계로11길 33 (황학동),동문장여관,여관업,201862.5288,451586.6035,127.0189797,37.56656137
56,3010000,3010000-201-1987-00151,영업/정상,330,100-012,서울특별시 중구 충무로2가 50-6,서울특별시 중구 삼일대로4길 9 (충무로2가),명동 타임 호스텔(Myeong Dong Time Hostel),여관업,199023.9675,451105.4746,126.9868509,37.56222762
57,3010000,3010000-201-1988-00134,영업/정상,888,100880,서울특별시 중구 흥인동 108 ,서울특별시 중구 다산로 259 (흥인동),플러스호텔,여관업,201335.157,451538.2558,127.0130103,37.56612664
58,3010000,3010000-201-1988-00187,영업/정상,48165,100-070,서울특별시 중구 소공동 1,서울특별시 중구 을지로 30 (소공동),(주)호텔롯데,관광호텔,198259.6536,451392.1982,126.9781995,37.56480978
59,3010000,3010000-201-1989-00048,영업/정상,915.24,100846,서울특별시 중구 을지로3가 335-2 ,서울특별시 중구 충무로5길 22 (을지로3가),미오디자인레지던스(MMMIO),여관업,199190.8739,451467.8974,126.9887396,37.56549318
60,3010000,3010000-201-1990-00136,영업/정상,432.32,100873,서울특별시 중구 회현동1가 130-1,서울특별시 중구 퇴계로12길 51 (회현동1가),호텔 경동,여관업,198315.5945,450545.564,126.9788347,37.55718181
61,3010000,3010000-201-1997-00034,영업/정상,30,100823,서울특별시 중구 신당동 241-124번지 2,3층 ,2,2017-11-29 09:13:00,201205.3501,451273.6619,127.0115407,37.56374285
62,3010000,3010000-201-1998-00050,영업/정상,396,100863,서울특별시 중구 충무로4가 22,서울특별시 중구 충무로2길 27 (충무로4가),충무모텔,여관업,199463.5348,451139.1606,126.991826,37.56253152
63,3010000,3010000-201-1999-00221,영업/정상,591.68,100411,서울특별시 중구 광희동1가 263-2번지 ,서울특별시 중구 마른내로 150 (광희동1가),신아모텔,여관업,200330.9741,451373.1594,127.0016441,37.56463998
64,3010000,3010000-201-1999-00229,영업/정상,114.31,100806,서울특별시 중구 남창동 232-2번지 ,,공진여인숙,여인숙업,197862.6532,450519.2664,126.9737086,37.5569439
65,3010000,3010000-201-1999-00231,영업/정상,337.79,100884,서울특별시 중구 신당동 308-5 ,서울특별시 중구 다산로27길 6-10 (신당동),야코리아 게스트하우스,여관업,201086.9288,450833.8818,127.0101997,37.55978061
66,3010000,3010000-201-2000-00231,영업/정상,297.39,100869,서울특별시 중구 황학동 375-0번지 ,서울특별시 중구 퇴계로83길 22-16 (황학동),은성장여관,여관업,201640.033,451578.0159,127.0164613,37.5664844
67,3010000,3010000-201-2000-00232,영업/정상,800,100-851,서울특별시 중구 을지로6가 18-51,서울특별시 중구 을지로41길 22 (을지로6가),호텔 스테이인(HOTEL STAY IN),일반호텔,200492.7022,451643.8659,127.0034748,37.56707895
68,3010000,3010000-201-2000-00240,영업/정상,312.04,100806,서울특별시 중구 남창동 205-125 ,서울특별시 중구 퇴계로2길 15-3 (남창동),머스트스테이 호텔,여관업,197954.0911,450515.8298,126.9747435,37.55691315
69,3010000,3010000-201-2000-00241,영업/정상,151.8,100824,서울특별시 중구 신당동 292-127번지 ,서울특별시 중구 다산로 215 (신당동),청구 리빙텔,여인숙업,201242.6814,451132.9831,127.011963,37.5624753
70,3010000,3010000-201-2000-00242,영업/정상,281,100847,서울특별시 중구 을지로3가 291-45번지 ,서울특별시 중구 충무로 54-3 (을지로3가),트립스테이 명동,여관업,199321.5604,451526.9013,126.9902187,37.56602491
