개방자치단체코드,관리번호,영업상태명,소재지면적,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y),,,,,,,
3010000,3010000-102-1974-02672,폐업,1,100845,서울특별시 중구 을지로2가 101-1번지 ,,,59:59.0,고고(디스코)클럽,198991.4807,,,,,,,
3010000,3010000-102-1974-02681,영업/정상,483.5,서울특별시 중구 을지로5가 133-1번지 ,서울특별시 중구 을지로38길 20 (을지로5가),4561,천지호텔나이트캬바레,카바레,200225.9831,451511.2628,,,,,,,
3010000,3010000-102-1975-02493,폐업,425.1,서울특별시 중구 북창동 131-2번지 ,,,폭스,룸살롱,,,,,,,,,
3010000,3010000-102-1975-02553,영업/정상,185.24,서울특별시 중구 충무로2가 60-3번지 지하1층 ,서울특별시 중구 삼일대로 299, 지하1층 (충무로2가),4537,59:59.0,198911.8064,451032.3161,,,,,,,
3010000,3010000-102-1975-02569,영업/정상,83.67,서울특별시 중구 충무로2가 50-3 1~2층,서울특별시 중구 삼일대로4길 17 (충무로2가),4553,동경비지니스,비어(바)살롱,199055.7048,451096.008,,,,,,,
3010000,3010000-102-1975-02585,폐업,55.04,서울특별시 중구 남창동 205-104번지 ,서울특별시 중구 퇴계로4길 2 (남창동),4635,황실,룸살롱,197931.4788,450568.541,,,,,,,
3010000,3010000-102-1975-02633,폐업,634,서울특별시 중구 장충동2가 15-5번지 ,,,타워호텔,관광호텔나이트(카바레),,,,,,,,,
3010000,3010000-102-1975-02649,폐업,1,100282,서울특별시 중구 인현동2가 73-1번지 ,,,59:59.0,기타,199550.5063,,,,,,,
3010000,3010000-102-1975-02679,폐업,595,서울특별시 중구 황학동 945-0번지 ,,,성동카바레,카바레,,,,,,,,,
3010000,3010000-102-1976-02454,폐업,397.92,서울특별시 중구 을지로6가 18-67번지 ,,,동경,룸살롱,,,,,,,,,
3010000,3010000-102-1976-02467,폐업,31.73,서울특별시 중구 황학동 844-0번지 ,,,희원,요정,,,,,,,,,
3010000,3010000-102-1976-02471,폐업,144.6,서울특별시 중구 남대문로5가 12-38번지 ,,,랑데즈,룸살롱,197646.779,450670.574,,,,,,,
3010000,3010000-102-1976-02512,폐업,112.83,서울특별시 중구 주교동 122-2 1층 ,서울특별시 중구 창경궁로 66 (주교동, 1층),4546,40:00.0,룸살롱,199778.7755,,,,,,,
3010000,3010000-102-1976-02516,폐업,137.99,서울특별시 중구 회현동1가 65-0번지 ,,,환타지아,룸살롱,198249.7588,450711.483,,,,,,,
3010000,3010000-102-1976-02536,폐업,227.61,서울특별시 중구 흥인동 49-7번지 ,,,유락,비어(바)살롱,,,,,,,,,
3010000,3010000-102-1976-02554,폐업,25.2,서울특별시 중구 충무로2가 61-3번지 ,,,세종칵테일바,비어(바)살롱,198866.3649,451021.051,,,,,,,
3010000,3010000-102-1976-02558,영업/정상,52.81,서울특별시 중구 중림동 129-38번지 지하1층 ,서울특별시 중구 청파로 425 (중림동),4507,희망,비어(바)살롱,197183.0871,450587.368,,,,,,,
3010000,3010000-102-1976-02607,폐업,0,서울특별시 중구 황학동 753-1번지 ,,,단골,극장식당,201531.7837,451574.9495,,,,,,,
3010000,3010000-102-1976-02616,폐업,46.14,서울특별시 중구 서소문동 168-9번지 ,,,길,극장식당,,,,,,,,,
3010000,3010000-102-1976-02619,영업/정상,110.55,서울특별시 중구 남산동2가 31-1번지 ,서울특별시 중구 퇴계로20길 2 (남산동2가),4631,젠쿠(BAR),극장식당,198644.069,450827.8618,,,,,,,
3010000,3010000-102-1976-02644,폐업,82.5,서울특별시 중구 을지로3가 334-10번지 ,,,라빈,룸살롱,199143.905,451509.1502,,,,,,,
3010000,3010000-102-1976-02647,폐업,620.98,서울특별시 중구 명동1가 6-0번지 ,,,로얄알라딘,카바레,,,,,,,,,
3010000,3010000-102-1976-02654,폐업,924.02,서울특별시 중구 장충동2가 186-9번지 ,,,앰바나이트크럽,관광호텔나이트(디스코),,,,,,,,,
3010000,3010000-102-1976-02655,폐업,1,100042,서울특별시 중구 남산동2가 31-1번지 ,,,59:59.0,기타,198644.069,,,,,,,
3010000,3010000-102-1976-02656,폐업,510.75,서울특별시 중구 남산동2가 31-1번지 ,서울특별시 중구 퇴계로20길 2 (남산동2가),4631,퍼시픽호텔 무겐,카바레,198644.069,450827.8618,,,,,,,
3010000,3010000-102-1976-02665,폐업,655.73,서울특별시 중구 회현동1가 202-191번지 ,,,제일관광캬바레,카바레,198144.8503,450939.0673,,,,,,,
3010000,3010000-102-1976-02669,폐업,335.39,서울특별시 중구 태평로1가 29-1번지 ,,,캔디,룸살롱,198000.9672,451745.0255,,,,,,,
3010000,3010000-102-1976-02670,폐업,312.04,서울특별시 중구 충무로1가 24-11번지 ,,,검은상자,고고(디스코)클럽,198496.5728,450988.771,,,,,,,
3010000,3010000-102-1976-02671,폐업,459,서울특별시 중구 장충동2가 5-5번지 ,,,주식회사 타워호텔 지아이지,카바레,,,,,,,,,
3010000,3010000-102-1976-02674,폐업,333.16,서울특별시 중구 명동2가 53-12번지 ,,,스타월드,고고(디스코)클럽,,,,,,,,,
3010000,3010000-102-1976-02680,폐업,1,100851,서울특별시 중구 을지로6가 18-133번지 ,,,59:59.0,카바레,200476.6851,,,,,,,
3010000,3010000-102-1977-02421,폐업,29.54,서울특별시 중구 의주로2가 30-5번지 ,,,프라자타운,간이주점,,,,,,,,,
3010000,3010000-102-1977-02483,폐업,229.82,서울특별시 중구 주교동 176-8번지 ,,,아리랑영상주점,룸살롱,199777.3715,451723.0866,,,,,,,
3010000,3010000-102-1977-02487,폐업,426.55,서울특별시 중구 북창동 18-1번지 ,,,라스베가스룸,룸살롱,197963.5267,451212.7996,,,,,,,
3010000,3010000-102-1977-02510,폐업,235.55,서울특별시 중구 광희동1가 145-2번지 ,,,골든벨,룸살롱,200492.5019,451466.2697,,,,,,,
3010000,3010000-102-1977-02551,폐업,207.26,서울특별시 중구 명동1가 38-3번지 ,,,태양의길목,비어(바)살롱,,,,,,,,,
3010000,3010000-102-1977-02559,폐업,296.14,서울특별시 중구 필동1가 3-5번지 지하 1층 ,서울특별시 중구 수표로2길 22 (필동1가, 지하 1층),4554,59:59.0,룸살롱,199216.9845,,,,,,,
3010000,3010000-102-1977-02561,폐업,54.89,서울특별시 중구 태평로2가 68-6번지 ,,,휴가로,스텐드바,197916.1729,451198.4543,,,,,,,
3010000,3010000-102-1977-02664,폐업,470.94,서울특별시 중구 남대문로5가 36-1번지 ,,,하와이회관,카바레,197692.6016,450709.794,,,,,,,
3010000,3010000-102-1977-02675,폐업,293.54,서울특별시 중구 다동 35-0번지 ,,,원달라,고고(디스코)클럽,,,,,,,,,
3010000,3010000-102-1978-02496,영업/정상,68.03,서울특별시 중구 북창동 98-0,서울특별시 중구 남대문로1길 26 (북창동),4526,직장인 노래밤,룸살롱,197945.8254,451102.6517,,,,,,,
3010000,3010000-102-1978-02501,폐업,91.55,서울특별시 중구 충무로2가 51-15번지 ,,,로얄,룸살롱,199034.5277,451069.2585,,,,,,,
