,Unnamed: 0,노드링크 유형,노드 WKT,노드 ID,노드 유형 코드,링크 WKT,링크 ID,링크 유형 코드,시작노드 ID,종료노드 ID,링크 길이,시군구코드,시군구명,읍면동코드,읍면동명,고가도로,지하철네트워크,교량,터널,육교,횡단보도,"공원,녹지",건물내,행정동코드,CCTV_100m,숙박업소_100m,유흥업소_100m,경찰서_500m,비아파트_25m,취약계층_평균(생활인구),CCTV_100m_std,숙박업소_100m_std,유흥업소_100m_std,경찰서_500m_std,비아파트_25m_std,취약계층_평균(생활인구)_std,범죄종합점수,geometry,수요충족여부
21,21,NODE,POINT(127.00432551865694 37.55257271150413),75491,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570,2,0,0,0,14,449.7471811,0.2,0,0,0,0.466666667,0.134902168,0.128865133,POINT (127.00432551865694 37.55257271150413),0
22,22,NODE,POINT(127.01694663469925 37.568157622375956),127427,0,,0,,,,,1114000000,중구,1114016300,흥인동,,,,,0,0,,,11140615,0,0,0,1,4,871.0517579,0,0,0,0.25,0.133333333,0.577369307,0.074608746,POINT (127.01694663469925 37.568157622375956),0
23,23,NODE,POINT(127.02288896582871 37.571275884089054),75492,0,,0,,,,,1114000000,중구,1114016500,황학동,,,,,0,0,,,11140670,0,0,0,0,0,575.0203519,0,0,0,0,0,0.266467939,0.045033082,POINT (127.02288896582871 37.571275884089054),0
24,24,NODE,POINT(126.97911888026745 37.55332616090429),10384,0,,0,,,,,1114000000,중구,1114011800,남대문로5가,,,,,0,0,,,11140540,0,0,0,1,0,1016.201138,0,0,0,0.25,0,0.72980969,0.065837838,POINT (126.97911888026745 37.55332616090429),0
25,25,NODE,POINT(127.00938238104321 37.5574527666814),8328,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,2,1,0,1,1,871.0517579,0.2,0.066666667,0,0.25,0.033333333,0.577369307,0.03824208,POINT (127.00938238104321 37.5574527666814),2
26,26,NODE,POINT(127.00584780767774 37.56927540677632),74433,0,,0,,,,,1114000000,중구,1114014800,을지로6가,,,,,0,0,,,11140590,0,0,0,0,0,938.6870317,0,0,0,0,0,0.64840197,0.109579933,POINT (127.00584780767774 37.56927540677632),0
27,27,NODE,POINT(127.0168258458476 37.568002019674765),127428,0,,0,,,,,1114000000,중구,1114016300,흥인동,,,,,0,0,,,11140615,0,0,0,1,6,871.0517579,0,0,0,0.25,0.2,0.577369307,0.091875413,POINT (127.0168258458476 37.568002019674765),0
28,28,NODE,POINT(127.01724477602764 37.56725010758942),9253,0,,0,,,,,1114000000,중구,1114016300,흥인동,,,,,0,0,,,11140615,1,1,0,1,17,871.0517579,0.1,0.066666667,0,0.25,0.566666667,0.577369307,0.183775413,POINT (127.01724477602764 37.56725010758942),0
29,29,NODE,POINT(127.006723973425 37.546381834275984),127431,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,0,0,0,0,0,871.0517579,0,0,0,0,0,0.577369307,0.097575413,POINT (127.006723973425 37.546381834275984),0
30,30,NODE,POINT(127.01713615324799 37.56712089126608),9252,0,,0,,,,,1114000000,중구,1114016300,흥인동,,,,,0,0,,,11140615,1,1,0,1,18,871.0517579,0.1,0.066666667,0,0.25,0.6,0.577369307,0.192408746,POINT (127.01713615324799 37.56712089126608),1
31,31,NODE,POINT(127.02066933188054 37.56617973988599),127432,0,,0,,,,,1114000000,중구,1114016500,황학동,,,,,0,0,,,11140670,2,3,1,0,5,575.0203519,0.2,0.2,0.047619048,0,0.166666667,0.266467939,0.097352129,POINT (127.02066933188054 37.56617973988599),1
32,32,NODE,POINT(127.00810108484042 37.56494551459566),8152,0,,0,,,,,1114000000,중구,1114014900,을지로7가,,,,,0,0,,,11140590,1,2,0,2,4,938.6870317,0.1,0.133333333,0,0.5,0.133333333,0.64840197,0.030379933,POINT (127.00810108484042 37.56494551459566),1
